obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
61538881,TESS,timeseries,tess2018319095959-s0005-0000000167719618-0125-s,Light curves,S,mast:TESS/product/tess2018319095959-s0005-0000000167719618-0125-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,N/A,tess2018319095959-s0005-0000000167719618-0125-s_lc.fits,1923840,61538881,PUBLIC,3,TESS
61578444,TESS,timeseries,tess2021118034608-s0038-0000000167719618-0209-s,Light curves,S,mast:TESS/product/tess2021118034608-s0038-0000000167719618-0209-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.35-20210626,G03272,tess2021118034608-s0038-0000000167719618-0209-s_lc.fits,1952640,61578444,PUBLIC,3,TESS
62253033,TESS,timeseries,tess2018349182500-s0006-0000000167719618-0126-s,Light curves,S,mast:TESS/product/tess2018349182500-s0006-0000000167719618-0126-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,N/A,tess2018349182500-s0006-0000000167719618-0126-s_lc.fits,1598400,62253033,PUBLIC,3,TESS
62328127,TESS,timeseries,tess2019006130736-s0007-0000000167719618-0131-s,Light curves,S,mast:TESS/product/tess2019006130736-s0007-0000000167719618-0131-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.16-20201026,N/A,tess2019006130736-s0007-0000000167719618-0131-s_lc.fits,1791360,62328127,PUBLIC,3,TESS
62456763,TESS,timeseries,tess2019032160000-s0008-0000000167719618-0136-s,Light curves,S,mast:TESS/product/tess2019032160000-s0008-0000000167719618-0136-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,a48994c73f,N/A,tess2019032160000-s0008-0000000167719618-0136-s_lc.fits,1805760,62456763,PUBLIC,3,TESS
64307388,TESS,timeseries,tess2019085135100-s0010-0000000167719618-0140-s,Light curves,S,mast:TESS/product/tess2019085135100-s0010-0000000167719618-0140-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.23-20210212,N/A,tess2019085135100-s0010-0000000167719618-0140-s_lc.fits,1920960,64307388,PUBLIC,3,TESS
65139216,TESS,timeseries,tess2019112060037-s0011-0000000167719618-0143-s,Light curves,S,mast:TESS/product/tess2019112060037-s0011-0000000167719618-0143-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.23-20210212,N/A,tess2019112060037-s0011-0000000167719618-0143-s_lc.fits,1984320,65139216,PUBLIC,3,TESS
65179624,TESS,timeseries,tess2019140104343-s0012-0000000167719618-0144-s,Light curves,S,mast:TESS/product/tess2019140104343-s0012-0000000167719618-0144-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.22-20210121,N/A,tess2019140104343-s0012-0000000167719618-0144-s_lc.fits,2041920,65179624,PUBLIC,3,TESS
65459948,TESS,timeseries,tess2019169103026-s0013-0000000167719618-0146-s,Light curves,S,mast:TESS/product/tess2019169103026-s0013-0000000167719618-0146-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.22-20210121,N/A,tess2019169103026-s0013-0000000167719618-0146-s_lc.fits,2079360,65459948,PUBLIC,3,TESS
62341268,TESS,timeseries,tess2018206190142-s0001-s0039-0000000167719618,full data validation report (xml),S,mast:TESS/product/tess2018206190142-s0001-s0039-0000000167719618-00493_dvr.xml,INFO,,DVR,,SPOC,44cacf5c48,N/A,tess2018206190142-s0001-s0039-0000000167719618-00493_dvr.xml,1378089,62341268,PUBLIC,3,TESS
61590303,TESS,timeseries,tess2021118034608-s0038-0000000418255064-0209-s,Light curves,S,mast:TESS/product/tess2021118034608-s0038-0000000418255064-0209-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.35-20210626,G03188,tess2021118034608-s0038-0000000418255064-0209-s_lc.fits,1952640,61590303,PUBLIC,3,TESS
62002683,TESS,timeseries,tess2021146024351-s0039-0000000418255064-0210-s,Light curves,S,mast:TESS/product/tess2021146024351-s0039-0000000418255064-0210-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.35-20210626,G03188,tess2021146024351-s0039-0000000418255064-0210-s_lc.fits,2041920,62002683,PUBLIC,3,TESS
65151189,TESS,timeseries,tess2019112060037-s0011-0000000418255064-0143-s,Light curves,S,mast:TESS/product/tess2019112060037-s0011-0000000418255064-0143-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.23-20210212,N/A,tess2019112060037-s0011-0000000418255064-0143-s_lc.fits,1984320,65151189,PUBLIC,3,TESS
65192559,TESS,timeseries,tess2019140104343-s0012-0000000418255064-0144-s,Light curves,S,mast:TESS/product/tess2019140104343-s0012-0000000418255064-0144-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.22-20210121,N/A,tess2019140104343-s0012-0000000418255064-0144-s_lc.fits,2041920,65192559,PUBLIC,3,TESS
62344268,TESS,timeseries,tess2018206190142-s0001-s0039-0000000418255064,full data validation report (xml),S,mast:TESS/product/tess2018206190142-s0001-s0039-0000000418255064-00493_dvr.xml,INFO,,DVR,,SPOC,44cacf5c48,G03188,tess2018206190142-s0001-s0039-0000000418255064-00493_dvr.xml,271656,62344268,PUBLIC,3,TESS
27807365,TESS,timeseries,tess2020186164531-s0027-0000000350299588-0189-s,Light curves,S,mast:TESS/product/tess2020186164531-s0027-0000000350299588-0189-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.9-20200827,G03251,tess2020186164531-s0027-0000000350299588-0189-s_lc.fits,1785600,27807365,PUBLIC,3,TESS
27836392,TESS,timeseries,tess2020212050318-s0028-0000000350299588-0190-s,Light curves,S,mast:TESS/product/tess2020212050318-s0028-0000000350299588-0190-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.9-20200827,G03251,tess2020212050318-s0028-0000000350299588-0190-s_lc.fits,1848960,27836392,PUBLIC,3,TESS
27897794,TESS,timeseries,tess2020238165205-s0029-0000000350299588-0193-s,Light curves,S,mast:TESS/product/tess2020238165205-s0029-0000000350299588-0193-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.13-20201001,G03251,tess2020238165205-s0029-0000000350299588-0193-s_lc.fits,1915200,27897794,PUBLIC,3,TESS
27986584,TESS,timeseries,tess2020266004630-s0030-0000000350299588-0195-s,Light curves,S,mast:TESS/product/tess2020266004630-s0030-0000000350299588-0195-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.16-20201026,G03251,tess2020266004630-s0030-0000000350299588-0195-s_lc.fits,1998720,27986584,PUBLIC,3,TESS
28060370,TESS,timeseries,tess2020294194027-s0031-0000000350299588-0198-s,Light curves,S,mast:TESS/product/tess2020294194027-s0031-0000000350299588-0198-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.20-20201120,G03251,tess2020294194027-s0031-0000000350299588-0198-s_lc.fits,1860480,28060370,PUBLIC,3,TESS
28226030,TESS,timeseries,tess2020351194500-s0033-0000000350299588-0203-s,Light curves,S,mast:TESS/product/tess2020351194500-s0033-0000000350299588-0203-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.22-20210121,G03251,tess2020351194500-s0033-0000000350299588-0203-s_lc.fits,1892160,28226030,PUBLIC,3,TESS
28297827,TESS,timeseries,tess2021014023720-s0034-0000000350299588-0204-s,Light curves,S,mast:TESS/product/tess2021014023720-s0034-0000000350299588-0204-s_lc.fits,SCIENCE,Minimum Recommended Products,LC,,SPOC,spoc-5.0.23-20210212,G03251,tess2021014023720-s0034-0000000350299588-0204-s_lc.fits,1854720,28297827,PUBLIC,3,TESS
